language,id,text,file,node,lineNumber,lock,comment
en,line:0793960,Isabel: But what I wasn’t expecting was the way Connie would speak to me again.,/Users/jacordon/ParaIsabel/Assets/YarnScripts/Dialogue.yarn,Scene_11_Dialogue,140,5e95d9b3,
en,line:0247979,Isabel: She stopped me and asked me where I thought I’d be going with all this debt on me.,/Users/jacordon/ParaIsabel/Assets/YarnScripts/Dialogue.yarn,Scene_12_Dialogue,149,9e6fa9e4,
en,line:0a5fe97,Isabel: She ignored her promise to me of letting me work it off and instead told me something that made me sick.,/Users/jacordon/ParaIsabel/Assets/YarnScripts/Dialogue.yarn,Scene_12_Dialogue,151,909d5515,
en,line:0574c79,"Isabel: “There’s this guy who said he’ll pay off your $500 debt, you just have to go with him.”",/Users/jacordon/ParaIsabel/Assets/YarnScripts/Dialogue.yarn,Scene_12_Dialogue,153,d62b719c,
en,line:022a660,"Isabel: I knew I had come too far to give up on this journey. I tried to reach out to my friends who I’d play with in the rivers in Guatemala, and they told me they just couldn’t help me out. That their families would be upset with them.",/Users/jacordon/ParaIsabel/Assets/YarnScripts/Dialogue.yarn,Scene_12_Dialogue,155,49e27b34,
en,line:05d124e,"Isabel: Connie’s brother overheard me explaining this to Connie and as she refused to change her mind, he stepped in. He called her out on the crazy thing she was pushing me to do.",/Users/jacordon/ParaIsabel/Assets/YarnScripts/Dialogue.yarn,Scene_13_Dialogue,165,5826b828,
en,line:0ce82dc,Isabel: He asked Connie how she could have so much evil in her heart to sell off an 18 year old girl over $500.,/Users/jacordon/ParaIsabel/Assets/YarnScripts/Dialogue.yarn,Scene_13_Dialogue,167,989e0b47,
en,line:005e2d8,Isabel: He pawned his car to be able to pay her off. He allowed me to have a chance at being independent in the U.S.,/Users/jacordon/ParaIsabel/Assets/YarnScripts/Dialogue.yarn,Scene_13_Dialogue,169,5c5ea5ce,
en,line:0e7446d,"Isabel: I will always be grateful for the first job I got in California. I lived and worked with a family in Laguna Beach, cleaning their house and taking care of their kid.",/Users/jacordon/ParaIsabel/Assets/YarnScripts/Dialogue.yarn,Scene_14_Dialogue,179,7256e0e4,
en,line:04e65c9,Isabel: The kid was named Peter and he had adorable blue eyes. The father was a banker and wore a suit and tie to work every morning. The mother was a school teacher and she was jealous of how much Peter liked me haha.,/Users/jacordon/ParaIsabel/Assets/YarnScripts/Dialogue.yarn,Scene_14_Dialogue,181,3659462,
en,line:08e33c9,"Isabel: They were such a kind family to me, I think they might’ve pitied me. They even took me to the hospital in L.A. whenever I gave birth to your Mom.",/Users/jacordon/ParaIsabel/Assets/YarnScripts/Dialogue.yarn,Scene_14_Dialogue,183,2db210f0,
en,line:0f0e6cc,"Isabel: Without all of the bad things I had to endure, I wouldn’t have been able to provide for my family in the same way.",/Users/jacordon/ParaIsabel/Assets/YarnScripts/Dialogue.yarn,Scene_15_Dialogue,192,46c3a59d,
en,line:0eaeea7,"Isabel: I feel proud that I pushed my family ahead with my sacrifices, and all of my children have grown here in the U.S.",/Users/jacordon/ParaIsabel/Assets/YarnScripts/Dialogue.yarn,Scene_15_Dialogue,194,a1f413c3,
en,line:0473036,"Isabel: After all, I’ve got you too. <3",/Users/jacordon/ParaIsabel/Assets/YarnScripts/Dialogue.yarn,Scene_15_Dialogue,196,71054bc4,
en,line:019939d,Thank you for reading through this story. I wouldn’t be anything without my Grandma's hard work and I got the beautiful opportunity through this game to interview her about her past in detail.,/Users/jacordon/ParaIsabel/Assets/YarnScripts/Dialogue.yarn,Scene_16_Dialogue,205,0fe44dff,
en,line:02d0804,"Although this narrative is short, I am grateful I got to go through the process of creating and sharing it.",/Users/jacordon/ParaIsabel/Assets/YarnScripts/Dialogue.yarn,Scene_16_Dialogue,207,e0e52503,
